"from_station_id","to_station_id","fare_octo_adult","fare_octo_child","fare_octo_elderly","fare_octo_pwd","fare_octo_student","fare_single_adult","fare_single_child","fare_single_elderly"
"30","140",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"30","150",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"30","160",4.70,2.00,2.00,2.00,2.00,6.00,3.00,3.00
"30","340",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"30","350",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"30","360",4.80,2.40,2.00,2.00,2.40,6.00,3.00,3.00
"30","370",5.50,2.70,2.00,2.00,2.70,6.00,3.00,3.00
"30","380",5.50,2.70,2.00,2.00,2.70,7.00,3.50,3.50
"30","390",5.50,2.70,2.00,2.00,2.70,7.00,3.50,3.50
"30","400",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"30","425",5.50,2.70,2.00,2.00,2.70,7.00,3.50,3.50
"30","430",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"30","435",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"30","445",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"30","448",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"30","450",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"30","455",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"30","460",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"30","490",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"30","500",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"30","468",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"30","480",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"30","510",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"30","520",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"30","530",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"30","540",7.00,3.50,2.00,2.00,3.50,7.00,3.50,3.50
"30","550",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"30","560",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"30","570",5.90,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"30","580",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"30","590",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"30","600",6.70,3.00,2.00,2.00,3.00,7.00,3.50,3.50
"240","1",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"240","10",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"240","15",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"240","20",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"240","30",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"240","240",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"240","250",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"240","260",4.60,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"240","265",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"240","920",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"240","40",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"240","50",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"240","60",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"240","70",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"240","75",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"240","80",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"240","170",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"240","180",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"240","190",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"240","200",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"240","212",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"240","220",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"240","230",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"240","270",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"240","275",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"240","280",4.70,2.00,2.00,2.00,2.00,5.00,2.00,2.00
"240","295",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"240","300",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
"240","310",4.80,2.40,2.00,2.00,2.40,5.00,2.00,2.00
